Date/Hour: 12-02-2014/20:22:17 - Username: biagio.saitta - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36
Date/Hour: 12-02-2014/20:26:41 - Username:  - Request: login - Answer: denied - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36
Date/Hour: 12-02-2014/20:26:41 - Username:  - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36
Date/Hour: 12-02-2014/20:27:18 - Username: biagio.saitta - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36
Date/Hour: 10-03-2014/21:19:13 - Username: biagio.saitta - Request: login - Answer: denied - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36
Date/Hour: 10-03-2014/21:19:13 - Username: biagio.saitta - Request: login - Answer: denied - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36
Date/Hour: 10-03-2014/21:19:13 - Username: biagio.saitta - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36
Date/Hour: 10-03-2014/21:19:30 - Username: biagio.saitta - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36
Date/Hour: 12-03-2014/15:38:29 - Username: biagio.saitta - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36
Date/Hour: 15-03-2014/16:41:46 - Username: biagio.saitta - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36
Date/Hour: 16-03-2014/15:39:36 - Username: biagio.saitta - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36
Date/Hour: 16-03-2014/16:38:07 - Username:  - Request: login - Answer: denied - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36
Date/Hour: 16-03-2014/16:38:07 - Username:  - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36
Date/Hour: 16-03-2014/16:38:16 - Username: biagio.saitta - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36
Date/Hour: 16-03-2014/16:57:28 - Username: biagio.saitta - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36
Date/Hour: 16-03-2014/18:36:29 - Username: biagio.saitta - Request: login - Answer: denied - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36
Date/Hour: 16-03-2014/18:36:29 - Username: biagio.saitta - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36
Date/Hour: 16-03-2014/18:36:36 - Username: biagio.saitta - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36
Date/Hour: 16-03-2014/18:37:01 - Username: biagio.saitta - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36
Date/Hour: 18-03-2014/16:04:27 - Username: biagio.saitta - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36
Date/Hour: 18-03-2014/16:05:17 - Username: biagio.saitta - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36
Date/Hour: 18-03-2014/18:00:01 - Username: biagio.saitta - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36
Date/Hour: 18-03-2014/20:15:02 - Username: biagio.saitta - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36
Date/Hour: 20-03-2014/16:22:31 - Username: biagio.saitta - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36
Date/Hour: 20-03-2014/18:03:41 - Username: biagio.saitta - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0
Date/Hour: 21-03-2014/17:09:08 - Username: biagio.saitta - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36
Date/Hour: 22-03-2014/09:44:39 - Username: biagio.saitta - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36
Date/Hour: 23-03-2014/12:25:58 - Username: biagio.saitta - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36
Date/Hour: 23-03-2014/14:21:21 - Username: biagio.saitta - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36
Date/Hour: 23-03-2014/16:15:06 - Username: biagio.saitta - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36
Date/Hour: 23-03-2014/17:03:57 - Username: biagio.saitta - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36
Date/Hour: 24-03-2014/15:47:51 - Username: biagio.saitta - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36
Date/Hour: 24-03-2014/17:03:55 - Username: biagio.saitta - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36
Date/Hour: 24-03-2014/22:50:15 - Username: biagio.saitta - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36
Date/Hour: 24-03-2014/22:52:04 - Username: biagio.saitta - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36
Date/Hour: 24-03-2014/22:52:40 - Username: biagio.saitta - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0
Date/Hour: 25-03-2014/15:17:25 - Username: biagio.saitta - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36
Date/Hour: 25-03-2014/19:50:37 - Username: biagio.saitta - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36
Date/Hour: 27-03-2014/15:48:03 - Username: biagio.saitta - Request: login - Answer: denied - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36
Date/Hour: 27-03-2014/15:48:03 - Username: biagio.saitta - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36
Date/Hour: 27-03-2014/15:48:11 - Username: biagio.saitta - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36
Date/Hour: 28-03-2014/15:05:21 - Username: biagio.saitta - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36
Date/Hour: 29-03-2014/00:58:09 - Username: biagio.saitta - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36
Date/Hour: 29-03-2014/13:21:41 - Username: biagio.saitta - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36
Date/Hour: 29-03-2014/15:20:34 - Username: biagio.saitta - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36
Date/Hour: 29-03-2014/15:23:58 - Username: biagio.saitta - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36
Date/Hour: 29-03-2014/18:07:15 - Username: biagio.saitta - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36
